File,Status,Reason,References
app/services/database_service.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/admin.py (python import); app/pages/admin.py (python import); app/pages/analytics.py (python import); app/pages/communication_hub.py (python import)
assets/models/registry/registry_metadata.json,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/gesture_recognition/storage/model_registry.py (basename reference)
backend/.env,REQUIRED,Protected entry/config/test/page or referenced by repository code.,README.md (path reference); config/config.py (path reference)
backend/.env.example,REQUIRED,Protected entry/config/test/page or referenced by repository code.,run_full_audit.py (basename reference)
backend/Dockerfile,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
backend/app/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/__pycache__/main.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
backend/app/api/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/__pycache__/admin.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/__pycache__/auth.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/__pycache__/live.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/__pycache__/translate.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/__pycache__/utils.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/deps.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/api/v1/__init__.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/api/v1/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/v1/__pycache__/auth.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/v1/__pycache__/router.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/api/v1/auth.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/api/v1/router.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/core/__init__.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/core/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/core/__pycache__/config.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/core/__pycache__/database.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/core/__pycache__/security.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/core/config.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/core/database.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/core/security.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/data/__pycache__/live_feed.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/db/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/db/__pycache__/client.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/db/__pycache__/schemas.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/db/schemas.py,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
backend/app/main.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/schemas/__init__.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/schemas/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/schemas/__pycache__/auth.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/schemas/auth.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/services/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
backend/app/services/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/services/__pycache__/translate_service.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/tests/__init__.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/tests/conftest.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/tests/test_health.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/app/utils/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/utils/__pycache__/image_decoder.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/app/utils/__pycache__/mediapipe_model.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/requirements.txt,REQUIRED,Protected entry/config/test/page or referenced by repository code.,README.md (basename reference); backend/Dockerfile (basename reference); dependency_report.md (basename reference); run_full_audit.py (basename reference)
backend/tests/test_pipeline.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
backend/ws/__pycache__/telemetry_socket.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
backend/ws/telemetry_socket.py,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
communication/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
communication/hub.py,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
config/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
config/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
config/__pycache__/config.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
config/__pycache__/logger.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
config/config.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,ai_engine/computer_vision/camera.py (python import); ai_engine/computer_vision/holistic.py (python import); ai_engine/datasets/dataset_manager.py (python import); ai_engine/gesture_recognition/dataset/dataset_manager.py (python import)
config/logger.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,accessibility/keyboard_nav.py (python import); accessibility/screen_reader_hints.py (python import); accessibility/theme_manager.py (python import); ai_engine/computer_vision/camera.py (python import)
conversation/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
conversation/dialogue_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/communication_hub.py (python import); conversation/__init__.py (python import); tests/test_systems.py (python import)
conversation/emotion_tone.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,conversation/session.py (python import); tests/test_systems.py (python import)
conversation/message_thread.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,conversation/session.py (python import)
conversation/schemas.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/communication_hub.py (python import); conversation/dialogue_manager.py (python import); conversation/emotion_tone.py (python import); conversation/message_thread.py (python import)
conversation/session.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,conversation/__init__.py (python import); conversation/dialogue_manager.py (python import); tests/test_systems.py (python import); tests/test_systems.py (python import)
cv_stability_report.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
database/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
database/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
database/__pycache__/mongodb.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
database/mongodb.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (python import); app/pages/admin.py (python import); app/pages/home.py (python import); app/services/database_service.py (python import)
database_audit.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
dataset_health_report.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
dependency_report.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
docker-compose.yml,REQUIRED,Protected entry/config/test/page or referenced by repository code.,README.md (path reference)
emergency/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
emergency/alert_dispatcher.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/emergency.py (python import); emergency/__init__.py (python import); emergency/panic_protocol.py (python import); emergency/panic_protocol.py (python import)
emergency/emergency_phrases.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/emergency.py (python import); emergency/sos_detector.py (python import); tests/test_systems.py (python import); tests/test_systems.py (python import)
emergency/panic_protocol.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/emergency.py (python import); emergency/__init__.py (python import)
emergency/sos_detector.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/emergency.py (python import); app/pages/emergency.py (python import); emergency/__init__.py (python import); emergency/alert_dispatcher.py (python import)
frontend/.vite/deps/_metadata.json,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,ai_engine/gesture_recognition/storage/model_registry.py (basename reference); tests/test_systems.py (asset/model name reference)
frontend/.vite/deps/package.json,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
frontend/Dockerfile,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/index.html,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/tailwind.config.js (basename reference)
frontend/package-lock.json,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
frontend/package.json,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
frontend/pages/__pycache__/live_gesture_recognition.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
frontend/pages/__pycache__/live_vision_engine.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
frontend/pages/live_gesture_recognition.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
frontend/pages/live_vision_engine.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/main.py (basename reference); streamlit_audit.md (path reference)
frontend/postcss.config.js,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
frontend/src/App.tsx,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
frontend/src/components/.gitkeep,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/context/.gitkeep,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/context/AuthContext.tsx,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/context/ThemeContext.tsx,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/hooks/.gitkeep,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/index.css,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/src/main.tsx (basename reference)
frontend/src/main.tsx,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
frontend/src/pages/.gitkeep,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/services/.gitkeep,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/utils/.gitkeep,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/src/vite-env.d.ts,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/tailwind.config.js,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
frontend/tsconfig.json,POTENTIALLY UNUSED,No static import/reference found; review before deleting.,
frontend/tsconfig.node.json,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/tsconfig.json (basename reference)
frontend/vite.config.ts,REQUIRED,Protected entry/config/test/page or referenced by repository code.,frontend/tsconfig.node.json (basename reference)
gesture_accuracy_report.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
import_audit.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
integration_report.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
multilingual/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
multilingual/language_registry.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/communication_hub.py (python import); multilingual/__init__.py (python import); multilingual/locale_formatter.py (python import); tests/test_systems.py (python import)
multilingual/locale_formatter.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,multilingual/__init__.py (python import)
multilingual/rtl_handler.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,multilingual/__init__.py (python import); tests/test_systems.py (python import)
requirements.txt,REQUIRED,Protected entry/config/test/page or referenced by repository code.,README.md (path reference); backend/Dockerfile (path reference); dependency_report.md (path reference); run_full_audit.py (path reference)
run_full_audit.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
speech/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
speech/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/__pycache__/schemas.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/__pycache__/stt_engine.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/__pycache__/tts_engine.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/__pycache__/voice_profile.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/__pycache__/whisper_engine.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/providers/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
speech/providers/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/providers/__pycache__/base.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/providers/__pycache__/browser_provider.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/providers/__pycache__/gtts_provider.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
speech/providers/base.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,speech/providers/browser_provider.py (python import); speech/providers/gtts_provider.py (python import)
speech/providers/browser_provider.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,speech/providers/__init__.py (python import); speech/stt_engine.py (python import); speech/tts_engine.py (python import); tests/test_speech.py (python import)
speech/providers/gtts_provider.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,speech/providers/__init__.py (python import); speech/tts_engine.py (python import); tests/test_speech.py (python import)
speech/schemas.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/services/audio_service.py (python import); speech/providers/base.py (python import); speech/providers/browser_provider.py (python import); speech/providers/gtts_provider.py (python import)
speech/stt_engine.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/communication_hub.py (python import); speech/__init__.py (python import); tests/test_speech.py (python import)
speech/tts_engine.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/communication_hub.py (python import); app/pages/emergency.py (python import); app/services/audio_service.py (python import); speech/__init__.py (python import)
speech/voice_profile.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,speech/tts_engine.py (python import); tests/test_speech.py (python import)
speech/whisper_engine.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/services/audio_service.py (python import)
static_analysis_report.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
streamlit_audit.md,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,run_full_audit.py (path reference)
tests/test_gesture_recognition.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
tests/test_scaffolding.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
tests/test_speech.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
tests/test_systems.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
tests/test_translation.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,
translation/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
translation/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/__pycache__/context_manager.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/__pycache__/engine.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/__pycache__/grammar_fixer.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/__pycache__/schemas.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/context_manager.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_translation.py (python import); translation/engine.py (python import)
translation/engine.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,app/pages/communication_hub.py (python import); tests/test_translation.py (python import); translation/__init__.py (python import); app/main.py (basename reference)
translation/grammar_fixer.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_translation.py (python import); translation/engine.py (python import)
translation/providers/__init__.py,POTENTIALLY UNUSED,Package marker; keep unless package is removed.,
translation/providers/__pycache__/__init__.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/providers/__pycache__/base.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/providers/__pycache__/google_adapter.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/providers/__pycache__/rule_based.cpython-311.pyc,SAFE TO DELETE,Generated report/cache artifact; not required for runtime or tests.,
translation/providers/base.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,translation/providers/google_adapter.py (python import); translation/providers/rule_based.py (python import)
translation/providers/google_adapter.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_translation.py (python import); translation/engine.py (python import); translation/providers/__init__.py (python import)
translation/providers/rule_based.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_translation.py (python import); translation/engine.py (python import); translation/providers/__init__.py (python import); translation/providers/google_adapter.py (python import)
translation/schemas.py,REQUIRED,Protected entry/config/test/page or referenced by repository code.,tests/test_translation.py (python import); translation/context_manager.py (python import); translation/engine.py (python import)
